instrument,instrument_id,n_observations,n_channels,mean_impact,sum_impact,positive_frac,innovation_mean,innovation_std,innovation_abs_mean,innovation_rms,gradient_mean,gradient_abs_mean,gradient_rms,projection_mean,alignment_cosine,alignment_frac,target_variable,target_channel,p_idx,p_hpa,pair_idx,prev_bin,curr_bin,lead_step,ea,eb
radiosonde,7,2710,4,-0.0034944924991577864,-37.88029861450195,0.05756457522511482,1.1464874744415283,1.003101110458374,1.2739617824554443,1.5233663320541382,-0.0026877247728407383,0.00809867586940527,0.08219269663095474,-0.0034944924991577864,-0.02790915220975876,0.05756457522511482,v_wind,3,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
aircraft,6,14550,4,1.6255763739536633e-06,0.09460854530334473,0.033728521317243576,-0.04024752229452133,0.726263165473938,0.49062973260879517,0.7273774743080139,1.7276519429287873e-05,0.00019076837634202093,0.0029184287413954735,1.6255763739536633e-06,0.0007657707901671529,0.033728521317243576,v_wind,3,0,1000.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
atms,2,50000,22,-3.334133725729771e-05,-36.675472259521484,0.003287272760644555,0.12253441661596298,1.251461386680603,0.9831319451332092,1.2574459314346313,3.46029300999362e-05,0.00011791441647801548,0.00517378281801939,-3.334133725729771e-05,-0.00512497965246439,0.003287272760644555,temperature,0,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
amsua,0,30000,15,-0.00015053615788929164,-67.74127197265625,0.004022222012281418,0.10308036208152771,1.3152543306350708,1.0490690469741821,1.3192874193191528,0.00014217087300494313,0.0004970155423507094,0.01566869579255581,-0.00015053615788929164,-0.00728232366964221,0.004022222012281418,temperature,0,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ssmis,5,30000,24,-5.425941708381288e-05,-39.06678009033203,0.0038999998942017555,0.0031434623524546623,1.4766324758529663,1.14431631565094,1.4766359329223633,6.507647776743397e-05,0.000390673492802307,0.013531490229070187,-5.425941708381288e-05,-0.0027155643329024315,0.0038999998942017555,temperature,0,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
seviri,4,30000,16,-7.184328751463909e-06,-3.4484777450561523,0.0032458333298563957,-0.29585352540016174,0.5085338950157166,0.39534398913383484,0.5883333086967468,7.262988219736144e-05,0.00026477230130694807,0.010268176905810833,-7.184328751463909e-06,-0.0011892433976754546,0.0032458333298563957,temperature,0,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
avhrr,3,30000,3,7.569266813334252e-07,0.06812340021133423,0.0009666666737757623,0.3950219750404358,1.1617968082427979,0.9408338665962219,1.2271161079406738,3.35637153625612e-08,1.1912148920600885e-06,0.00012924968905281276,7.569266813334252e-07,0.004772419575601816,0.0009666666737757623,temperature,0,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ascat,1,18663,3,0.0008153622038662434,45.65131378173828,0.00439372006803751,1.387545108795166,0.8487812280654907,1.4297733306884766,1.6265642642974854,0.0006001990404911339,0.0009647802799008787,0.03089054487645626,0.0008153622038662434,0.016227584332227707,0.00439372006803751,temperature,0,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
surface_obs,8,9481,5,-0.000872061587870121,-41.34008026123047,0.028604578226804733,0.500102698802948,0.9704880118370056,0.8246627449989319,1.0917645692825317,-0.0008178424322977662,0.004045248031616211,0.052591342478990555,-0.000872061587870121,-0.015188117511570454,0.028604578226804733,temperature,0,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
radiosonde,7,2710,4,-0.0012105219066143036,-13.12205696105957,0.0801660493016243,1.1464874744415283,1.003101110458374,1.2739617824554443,1.5233663320541382,-0.0007145097479224205,0.0016554688336327672,0.013868466950953007,-0.0012105219066143036,-0.05729805678129196,0.0801660493016243,temperature,0,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
aircraft,6,14550,4,-0.00012746223364956677,-7.418302059173584,0.03132302314043045,-0.04024752229452133,0.726263165473938,0.49062973260879517,0.7273774743080139,0.00010636389197316021,0.0005079837283119559,0.007670850493013859,-0.00012746223364956677,-0.02284434624016285,0.03132302314043045,temperature,0,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
atms,2,50000,22,-1.5106365935935173e-05,-16.617002487182617,0.0033409090247005224,0.12253441661596298,1.251461386680603,0.9831319451332092,1.2574459314346313,3.5170160117559135e-05,9.399383998243138e-05,0.004220674280077219,-1.5106365935935173e-05,-0.0028463967610150576,0.0033409090247005224,dewpoint_temperature,1,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
amsua,0,30000,15,-6.779751129215583e-05,-30.508880615234375,0.0040955557487905025,0.10308036208152771,1.3152543306350708,1.0490690469741821,1.3192874193191528,0.00013358370051719248,0.00036064162850379944,0.011783711612224579,-6.779751129215583e-05,-0.0043610758148133755,0.0040955557487905025,dewpoint_temperature,1,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ssmis,5,30000,24,-1.5394309684779728e-06,-1.1083903312683105,0.004097222350537777,0.0031434623524546623,1.4766324758529663,1.14431631565094,1.4766359329223633,5.3730913350591436e-05,0.00027697187033481896,0.009499900043010712,-1.5394309684779728e-06,-0.00010974171163979918,0.004097222350537777,dewpoint_temperature,1,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
seviri,4,30000,16,-6.154949005576782e-06,-2.9543755054473877,0.0032166666351258755,-0.29585352540016174,0.5085338950157166,0.39534398913383484,0.5883333086967468,4.6877030399627984e-05,0.0001714766985969618,0.007383121643215418,-6.154949005576782e-06,-0.0014169756323099136,0.0032166666351258755,dewpoint_temperature,1,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
avhrr,3,30000,3,9.173207899948466e-07,0.08255887031555176,0.0013000000035390258,0.3950219750404358,1.1617968082427979,0.9408338665962219,1.2271161079406738,1.2298384035602794e-06,1.5151936167967506e-06,0.00011985481978626922,9.173207899948466e-07,0.006237063091248274,0.0013000000035390258,dewpoint_temperature,1,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
ascat,1,18663,3,0.0005455430946312845,30.544410705566406,0.003929343074560165,1.387545108795166,0.8487812280654907,1.4297733306884766,1.6265642642974854,0.000410739827202633,0.0005230499082244933,0.01855972595512867,0.0005455430946312845,0.01807117462158203,0.003929343074560165,dewpoint_temperature,1,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
surface_obs,8,9481,5,-0.0008142261067405343,-38.598388671875,0.030060119926929474,0.500102698802948,0.9704880118370056,0.8246627449989319,1.0917645692825317,-0.000900937884580344,0.002867805538699031,0.03985033184289932,-0.0008142261067405343,-0.01871475577354431,0.030060119926929474,dewpoint_temperature,1,1,925.0,0,bin1,bin2,0,220291.69177246094,223140.20361328125
